Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
Noodle Stopper Figure Okkotsu Yuta/ Yuuta - Gekijouban Jujutsu Kaisen 0 (15cm),Ready Stock,360000,83,Okkotsu Yuuta,Jujutsu Kaisen,Prize Figure,FuRyu
[Cast Off] PVC Figure 1/5 Natsumi Amemiya illustration by Kekemotsu,Ready Stock,4500000,83,Natsumi Amemiya,Original Character,Scaled Figure,Native
Nendoroid Swacchao! Fushiguro Megumi - Jujutsu Kaisen,Ready Stock,380000,83,Fushiguro Megumi,Jujutsu Kaisen,Nendoroid Swacchao!,Good Smile Company
Nendoroid Tetsuya Kuroko - Kuroko no Basket,Sold Out,640000,83,Tetsuya Kuroko,Kuroko no Basket,Nendoroid,Orange Rouge
Starchasm Nyx Theme Shoulder Bag - Honkai Impact 3rd,Ready Stock,680000,83,Seele Vollerei,Honkai Impact 3rd,Merchandise - Bag,Mihoyo
Coreful Figure Elaina - Little Devil Ver. Majo no Tabitabi (19cm),Ready Stock,350000,83,Elaina,Majo no Tabitabi,Prize Figure,Taito
Xiao Vigilant Yaksha Theme Shirt Black Ver. (Size XL) - Genshin Impact,Ready Stock,780000,83,Xiao,Genshin Impact,Merchandise - Apparel,Mihoyo
Omanjuu Zhongli Teyvat Zoo Theme Series - Genshin Impact,Ready Stock,250000,83,Zhongli,Genshin Impact,Merchandise - Plush,Mihoyo
PVC Figure 1/7 A-Z:[D],Ready Stock,2050000,82,A-Z:D,A-Z:,Scaled Figure,Myethos
Nendoroid Nakajima Atsushi - Bungo / Bungou Stray Dogs (Re-Release),Ready Stock,700000,82,Nakajima Atsushi,Bungou Stray Dogs,Nendoroid,Orange Rouge
Pop Up Parade Figure Mujina - SSSS.DYNAZENON,Ready Stock,580000,82,Mujina,SSSS.Dynazenon,Pop Up Parade,Good Smile Company
Figure-rise Standard Amplified Dukemon - Digimon,Sold Out,690000,82,Dukemon,Digimon,Model Kit,Bandai Spirits
ARTFX J Figure 1/8 Mikasa Ackerman - Renewal Package Ver. (Re-Release),Pre-Order,2100000,82,Mikasa Ackerman,Shingeki no Kyojin,Scaled Figure,Kotobukiya
PVC Figure Rimuru Tempest - Otherworlder Vol. 14 (18cm),Ready Stock,250000,82,Rimuru Tempest,Tensei Shitara Slime Datta ken,Prize Figure,Bandai Spirits
Asteroid Figure Kiana Kaslana Herrscher Of Void - Honkai Impact 3 (10cm),Sold Out,680000,82,Honkai Impact 3,Honkai Impact 3,Nendoroid,Mihoyo
[REVIVE] figma Ruler / Jeanne d'Arc - Fate/Grand Order (Re-Release),Late Pre-Order,1240000,82,Jeanne d'Arc,Fate,figma,Max Factory
Nendoroid Nadeshiko Kagamihara - Solo Camp Ver. DX Edition,Ready Stock,890000,82,Nadeshiko Kagamihara,Yuru Camp,Nendoroid,Max Factory
"Nendoroid Chizuru Mizuhara - Kanojo, Okarishimasu",Ready Stock,1250000,83,Chizuru Mizuhara,Kanojo Okarishimasu,Nendoroid,Good Smile Company
Espresto Figure Hatsune Miku - TeamUKYO Support Ver. Print&Hair (17cm),Ready Stock,280000,81,Hatsune Miku,Vocaloid,Prize Figure,Banpresto
PVC Figure Tsuyuri Kanao - -Kizuna no Sou- Vol. 7 (15cm),Ready Stock,300000,81,Tsuyuri Kanao,Kimetsu no Yaiba,Prize Figure,Bandai Spirits / Banpresto
Nendoroid Noriaki Kakyoin - JoJo's Bizarre Adventure (Re-Release),Ready Stock,690000,81,Noriaki Kakyoin,Jojo's Bizarre Adventure,Nendoroid,Medicos Entertainment
Wanderer's String-Kettle Wanderer's Troupe Necklace - Genshin Impact,Back Order,850000,81,Paimon,Genshin Impact,Merchandise - Stationery,Mihoyo
[Limited Production] Nendoroid Swacchao! Kamado Nezuko - Kimetsu no Yaiba,Sold Out,420000,81,Kamado Nezuko,Kimetsu no Yaiba,Nendoroid Swacchao!,Good Smile Company
Nendoroid Aqua - Konosuba (Re-Release),Ready Stock,590000,81,Aqua,Kono Subarashii Sekai ni Shukufuku wo!,Nendoroid,Good Smile Company
PVC Figure Oozora Subaru - School Style Ver. Relax Time (11cm),Ready Stock,320000,81,Oozora Subaru,Hololive,Prize Figure,Bandai Spirits
Arknights Mostima Short Sleeve Hoodie (Size M),Sold Out,450000,81,Mostima,Arknights,Merchandise - Apparel,Tomorrow's Ark
"PVC Figure Ruka Sarashina - Kanojo, Okarishimasu EXQ (16cm)",Ready Stock,340000,81,Ruka Sarashina,Kanojo Okarishimashu,Prize Figure,Bandai Spirits
Noodle Stopper Figure Gojo Satoru - Gekijouban Jujutsu Kaisen 0 (15cm),Ready Stock,350000,81,Gojo Satoru,Jujutsu Kaisen,Prize Figure,FuRyu
Gojo Satoru Onemutan Jujutsu Kaisen,Sold Out,90000,81,Gojou Satoru,Jujutsu Kaisen,Mini Figure,Stand Stones
[Limited Production] Nendoroid Armin Arlert - Shingeki no Kyojin (Re-Release),Ready Stock,670000,81,Armin Arlert,Shingeki no Kyojin,Nendoroid,Good Smile Company
Yae Kasumi Multi-purpose Bag - Honkai Impact 3rd,Ready Stock,640000,81,Yae Sakura,Honkai Impact 3rd,Merchandise - Bag,Mihoyo
Nendoroid Dabi - Boku no Hero Academia (Re-Release),Ready Stock,700000,81,Dabi,Boku no Hero Academia,Nendoroid,Takara Tomy
Arknights Texas Short Sleeve Hoodie (Size M),Sold Out,450000,80,Texas,Arknights,Merchandise - Apparel,Tomorrow's Ark
PVC Figure Nurse-san Illustration by KFR (14.5cm),Ready Stock,2350000,80,Nurse-san,Original Character,Scaled Figure,Union Creative
G.E.M GEM Series Figure SPY x FAMILY Anya-chan,Sold Out,920000,80,Anya Forger,SPY x FAMILY,Scaled Figure,MegaHouse
LookUp / Rukkappu Figure Anya Forger - Spy x Family,Ready Stock,520000,80,Anya Forger,SPY x FAMILY,Lookup,MegaHouse
Nendoroid Archer / Gilgamesh - Third Ascension Ver.,Sold Out,650000,80,Gilgamesh,Fate,Nendoroid,Orange Rouge
Pop Up Parade Figure Miku Nakano - Gotoubun no Hanayome,Sold Out,640000,80,Miku Nakano,Gotoubun no Hanayome,Pop Up Parade,Good Smile Company
[REVIVE] PVC Figure 1/7 Saber ~15th Celebration Dress Ver.~,Late Pre-Order,1850000,80,Saber,Fate,Scaled Figure,Good Smile Company
PVC Figure 1/7 Megumi Kato - Fantasia Bunko Festival 2017 Ver.,Ready Stock,1700000,80,Megumi Kato,Saenai Heroine no Sodatekata,Scaled Figure,Good Smile Company
Coreful Figure Asuna - Wa-Style Ver. (20cm),Ready Stock,340000,80,Asuna,Sword Art Online,Prize Figure,Taito
[REVIVE] Nendoroid Hiiro - HiiroVTuber,Late Pre-Order,760000,80,Hiiro,Virtual Youtuber,Nendoroid,Good Smile Arts Shanghai
Nendoroid Minato Aqua - hololive production (Re-Release),Late Pre-Order,640000,80,Minato Aqua,hololive production,Nendoroid,Good Smile Company
Pop Up Parade Figure Eren Yeager - Attack Titan Ver.,Ready Stock,540000,79,Eren Yeager,Shingeki no Kyojin,Pop Up Parade,Good Smile Company
Nendoroid Aomine Daiki - Kuroko No Basket,Sold Out,1100000,79,Aomine Daiki,Kuroko no Basket,Nendoroid,Good Smile Company
Nendoroid Alice Synthesis Thirty - Sword Art Online,Sold Out,740000,79,Alice Synthesis Thirty,Sword Art Online,Nendoroid,Good Smile Company
PVC Figure 1/7 Megumi Kato - Pillow Ver.,Sold Out,2450000,79,Megumi Kato,Saekano Saenai Heroine no Sodatekata,Scaled Figure,KADOKAWA
Ichiban Kuji Figure Miku Nakano - Gotoubun no Hanayome ∬ Bride Style C Prize (18cm),Sold Out,770000,79,Miku Nakano,Gotoubun no Hanayome,Prize Figure,Ichiban Kuji
Coreful PVC Figure Kano - Virtual Singer Spring Clothes Ver. (18cm),Sold Out,390000,78,Kano,Virtual Singer,Prize Figure,Taito
[REVIVE] PVC Figure 1/8 Giyu Tomioka - Kimetsu no Yaiba,Late Pre-Order,2290000,79,Tomioka Giyu,Kimetsu no Yaiba,Scaled Figure,ANIPLEX+
[Exclusive Sale] Nendoroid Raiden Mei - Lightning Empress Ver.,Ready Stock,1550000,79,Raiden Mei,Honkai Impact 3rd,Nendoroid,Good Smile Arts Shanghai
Herrscher of The Void Cotton Jacket - Honkai Impact 3 (Size S/M/L/XL/XXL/XXXL),Sold Out,1500000,79,Kiana Kaslana,Honkai Impact 3rd,Merchandise - Apparel,Mihoyo
(Set of 6) Genshin Impact Capsule Collection Figure Vol. 2,Sold Out,450000,79,Zhongli,Genshin Impact,Mini Figure,Bushiroad Creative
ARTFX J Figure 1/7 Levi - Fortitude Ver. (Re-Release),Ready Stock,2450000,79,Levi,Shingeki no Kyojin,Scaled Figure,Kotobukiya
TENITOL Figure Hatsune Miku Light,Ready Stock,850000,79,Hatsune Miku,Vocaloid,Scaled Figure,FuRyu
Premium Figure Loid Forger - Party Ver. Spy X Family (20cm),Ready Stock,280000,79,Loid Forger,SPY x FAMILY,Prize Figure,SEGA
PVC Figure Chitanda Eru - Hyouka (18cm),Ready Stock,350000,79,Chitanda Eru,Hyouka,Prize Figure,Taito
Nendoroid Rimuru Tempest - Tensura Slime,Sold Out,650000,79,Rimuru Tempest,Tensei Shitara Slime Datta ken,Nendoroid,Good Smile Company
Super Premium Figure Rem - Puck Ver. (18cm),Sold Out,380000,79,Rem,Re:Zero Kara Hajimeru Isekai Seikatsu,Prize Figure,SEGA
[Limited Production] Nendoroid V / Kim Tae-hyung - BTS TinyTan,Ready Stock,620000,79,V,TinyTan,Nendoroid,Good Smile Company
Pop Up Parade L Figure Hatsune Miku - Because You're Here Ver. (24cm),Ready Stock,1040000,79,Hatsune Miku,Vocaloid,Pop Up Parade L,Good Smile Company
[FLASH PO] Nendoroid Minato Namikaze - Naruto,Sold Out,820000,78,Minato Namikaze,Naruto,Nendoroid,Good Smile Company
Acrylic Keychain Xiao Teyvat Zoo Theme Series - Genshin Impact,Ready Stock,80000,78,Xiao,Genshin Impact,Merchandise - Acrylic,Mihoyo
[Exclusive Sale] Nendoroid Hua Cheng / San Lang - Heavenly Official's Blessing / Tian Guan Ci Fu,Ready Stock,940000,78,Hua Cheng,Tian Guan Ci Fu,Nendoroid,Good Smile Arts Shanghai
PVC 1/7 Atago - Manatsu no Koushinkyoku Ver. (Re-Release),Late Pre-Order,2990000,78,Atago,Azur Lane,Scaled Figure,ALTER
PVC Figure 1/7 HK 416 MOD3 Heavy Damage Ver.,Ready Stock,3050000,78,416,Girls' Frontline,Scaled Figure,Phat!
Xiangling Noodle Bowl Guoba Model - Genshin Impact,Sold Out,470000,78,Xiangling,Genshin Impact,Merchandise - Stationery,Mihoyo
Nendoroid Ran Mitake - Stage Outfit Ver.,Ready Stock,700000,78,Ran Mitake,BanG Dream!,Nendoroid,Good Smile Company
PVC Figure Ai Hayasaka - Kaguya-sama wa Kokurasetai (22.5cm),Late Pre-Order,2500000,78,Ai Hayasaka,Kaguya-sama wa Kokurasetai,Scaled Figure,AMAKUNI x AmiAmi
"Zhongli Liyue Theme Series 15,5cm Acrylic Ornament Stand - Genshin Impact",Ready Stock,240000,78,Zhongli,Genshin Impact,Merchandise - Acrylic,Mihoyo
Pop Up Parade Figure Taki Tachibana - Kimi no na Wa,Ready Stock,520000,78,Taki Tachibana,Kimi no Na wa,Pop Up Parade,Good Smile Company
Nendoroid Doll archetype 1.1: Boy (Almond Milk)(re-run),Ready Stock,250000,78,Nendoroid Doll archetype 1.1: Boy (Almond Milk),Nendoroid Doll,Nendoroid Doll,Good Smile Company
Paimon Capsule Collection Figure Vol. 1 - Genshin Impact,Sold Out,80000,78,Paimon,Genshin Impact,Mini Figure,Bushiroad Creative
Super Special Series Figure Gilgamesh - Fate/Grand Order (21cm),Sold Out,380000,77,Gilgamesh,Fate,Prize Figure,FuRyu
BNTSH / BN Figure Monkey D. Luffy - New World Ver. (22.5cm),Sold Out,940000,77,Monkey D. Luffy,One Piece,Scaled Figure,Bandai Namco Shanghai
Coreful Figure Elaina - Budomimi no Otome Ver. (18cm),Ready Stock,350000,77,Elaina,Majo no Tabitabi,Prize Figure,Taito
Nendoroid W - Arknights,Sold Out,940000,77,W,Arknights,Nendoroid,Good Smile Arts Shanghai
Pop Up Parade Figure Shiro - Sniper Ver.,Sold Out,600000,77,Shiro,No Game No Life,Pop Up Parade,Good Smile Company
Nendoroid Jotaro Kujo - JoJo's Bizarre Adventure (Re-Release),Sold Out,820000,77,Jotaro Kujo,Jojo's Bizarre Adventure,Nendoroid,Medicos Entertainment
[Exclusive Sale] Nendoroid Rin Shima - Trike Ver.,Ready Stock,990000,77,Rin Shima,Yuru Camp,Nendoroid,Good Smile Company
DXF Figure Yamato - The Grandline Series Wanokuni Vol. 4 (18cm),Sold Out,340000,77,Yamato,One Piece,Prize Figure,Bandai Spirits
[Per Pack] Project SEKAI Colorful Stage! feat. Hatsune Miku Wafer Card 4,Sold Out,40000,77,Hatsune Miku,Project SEKAI Colorful Stage!,Merchandise - Miscellaneous,Bandai
Hu Tao Theme Series Dress (Size S) - Genshin Impact,Ready Stock,1250000,77,Hu Tao,Genshin Impact,Merchandise - Apparel,Mihoyo
[REVIVE] [Cast Off] PVC Figure 1/6 Witch of October 31st Miss Orangette Illustration by Pochi Iida (Pochigoya),Late Pre-Order,4850000,77,Miss Orangette,Original Character,Scaled Figure,Native
[REVIVE] PVC Figure 1/7 Chizuru Mizuhara - Yukata Ver.,Late Pre-Order,2550000,77,Chizuru Mizuhara,Kanojo Okarishimashu,Scaled Figure,BeBox
Pop Up Parade Figure Kenshin Himura - Rurouni Kenshin,Ready Stock,520000,77,Kenshin Himura,Rurouni Kenshin,Pop Up Parade,Good Smile Company
Figuarts Mini Yor Forger - SPY x FAMILY (9cm),Ready Stock,420000,77,Yor Forger,SPY x FAMILY,Figuarts Mini,Bandai Spirits
PVC Figure 1/7 Surtr - Colorful Wonderland CW03 Ver. Arknights,Late Pre-Order,3150000,77,Surtr,Arknights,Scaled Figure,Myethos
PVC Figure Nezuko Kamado - Vibration Stars (12cm),Ready Stock,310000,76,Nezuko Kamado,Kimetsu no Yaiba,Prize Figure,Bandai Spirits
Nendoroid Ruka Sarashina - Kanojo Okarishimasu,Ready Stock,640000,76,Ruka Sarashina,Kanojo Okarishimasu,Nendoroid,Good Smile Company
PVC Figure 1/7 Rimuru Tempest & Ranga,Ready Stock,2350000,76,Rimuru Tempest,Tensei Shitara Slime Datta ken,Scaled Figure,APEX
Pop Up Parade Figure Erza Scarlet - Fairy Tail (Re-Release),Sold Out,580000,76,Erza Scarlet,FAIRY TAIL,Pop Up Parade,Good Smile Company
Coreful Figure Yukino Yukinoshita - Room Wear Ver. (18cm),Ready Stock,350000,76,Yukinoshita Yukino,Yahari Ore no Seishun Love Comedy wa Machigatteiru,Prize Figure,Taito
[Limited Production] Nendoroid Kagura Nana,Ready Stock,770000,76,Kagura Nana,Virtual Youtuber,Nendoroid,Good Smile Company
[FANZA Exclusive] [Cast Off] PVC Figure 1/4 Mitsumi Ryuguji Illustration by Tsukino Wagamo,Ready Stock,4650000,76,Mitsumi Ryuguji,Original Character,Scaled Figure,BINDing
PVC Figure 1/7 Ryza / Reisalin Stout - Swimsuit Ver.,Ready Stock,1950000,76,Ryza,Atelier Ryza 2 : Ushinawareta Densho to Himitsu no Yosei,Scaled Figure,Good Smile Company
Herrscher of the Sentience Bluetooth Speaker with Character Voice Alarm - Honkai Impact 3rd,Ready Stock,540000,76,Fu Hua,Honkai Impact 3rd,Merchandise - Audio,Mihoyo
Herrscher of Flamescion Necklace and Ring Set - Honkai Impact 3rd,Ready Stock,380000,76,Kiana Kaslana,Honkai Impact 3rd,Merchandise - Blanket,Mihoyo
Premium Figure Kagamihara Nadeshiko - Yuru Camp (18cm),Ready Stock,340000,76,Kagamihara Nadeshiko,Yuru Camp,Prize Figure,SEGA
[REVIVE] PVC Figure 1/7 Belfast - Iridescent Rosa Ver. Azur Lane,Late Pre-Order,3780000,76,Belfast,Azur Lane,Scaled Figure,ALTER
PVC Figure 1/7 Ahri - K/DA Ver. League of Legends,Ready Stock,2950000,76,Ahri,League of Legends,Scaled Figure,APEX
Super Premium Figure Hatsune Miku - Ribbon Girl Ver.,Sold Out,380000,76,Hatsune Miku,Vocaloid,Prize Figure,SEGA
Ichiban Kuji PVC 1/8 Asuna - Sword Art Online Fatal Bullet,Sold Out,630000,75,Asuna,Sword Art Online,Prize Figure,Banpresto
Pop up Parade Figure Aqua - KonoSuba,Sold Out,580000,75,Aqua,Kono Subarashii Sekai ni Shukufuku wo!,Pop Up Parade,Max Factory
Coreful Figure Kurumi Tokisaki - Swimsuit Ver. (20cm),Sold Out,380000,75,Kurumi Tokisaki,Date A Live,Prize Figure,Taito
Pop Up Parade Figure Shoyo Hinata - Haikyuu!! (Re-Release),Sold Out,530000,75,Shoyo Hinata,Haikyuu!!,Pop Up Parade,Orange Rouge
Luminasta Figure Makima - Chainsaw Man (22cm),Ready Stock,320000,75,Makima,Chainsaw Man,Prize Figure,SEGA
Itoshi Rin Onemutan - Blue Lock,Sold Out,80000,75,Itoshi Rin,Blue Lock,Mini Figure,Stand Stones
Nendoroid Raphtalia - Tate no Yuusha no Nariagari,Sold Out,650000,75,Raphtalia,The Rising of the Shield Hero,Nendoroid,Good Smile Company
Arknights Rhodes Island Sports Long Pants (Size M),Sold Out,550000,75,Amiya,Arknights,Merchandise - Apparel,Tomorrow's Ark
Nendoroid Eris Boreas Greyrat - Mushoku Tensei,Sold Out,790000,75,Eris Boreas Greyrat,Mushoku Tensei,Nendoroid,Good Smile Company
[Cast Off] PVC Figure 1/8 Roxy Migurdia - Mushoku Tensei : Isekai Ittara Honki dasu (Re-Release),Late Pre-Order,2350000,75,Roxy Migurdia,Mushoku Tensei,Scaled Figure,Kotobukiya
Premium Figure Shima Rin - Yuru Camp (18cm),Ready Stock,320000,75,Shima Rin,Yuru Camp,Prize Figure,SEGA
Premium Figure Sachi Umino - Bunny Ver. Kakkou no Iinazuke (18cm),Ready Stock,300000,75,Sachi Umino,Kakkou no Iinazuke,Prize Figure,SEGA
Pop Up Parade Figure Megumi Kato - Bunny Ver.,Ready Stock,550000,75,Megumi Kato,Saenai Heroine no Sodatekata,Pop Up Parade,Max Factory
Noodle Stopper Figure Satoru Gojo - Ending Costume 2 Ver. (15cm),Sold Out,320000,75,Satoru Gojo,Jujutsu Kaisen,Prize Figure,FuRyu
Elysia Herrscher of Human: Ego Series Jacket (Size XL)- Honkai Impact 3rd,Late Pre-Order,900000,75,Elysia,Honkai Impact 3rd,Merchandise - Apparel,Mihoyo
figma Saber / Altria Pendragon (Alter) - Shinjuku Ver.,Sold Out,1180000,75,Saber,Fate,figma,Max Factory
Ichiban Kuji PVC 1/8 Sinon - Sword Art Online Fatal Bullet (20cm),Sold Out,720000,75,Sinon,Sword Art Online,Scaled Figure,Banpresto
Espresto Figure Kanzaki Ranko - Dressy and Attractive Eyes (25cm),Sold Out,340000,75,Kanzaki Ranko,The iDOLM@STER,Prize Figure,Banpresto
Nendoroid Texas - Arknights,Sold Out,770000,75,Texas,Arknights,Nendoroid,Good Smile Arts Shanghai
Nendoroid Hatsune Miku NT,Sold Out,740000,75,Hatsune Miku,Vocaloid,Nendoroid,Good Smile Company
Coreful Figure Izumi Sagiri - Room Wear Ver.,Ready Stock,350000,75,Izumi Sagiri,Eromanga Sensei,Prize Figure,Taito
[REVIVE] Rozaliya / Fervent Tempo Δ AUGMENT CORE Sneakers Model (Size 44) - Honkai Impact 3rd,Late Pre-Order,980000,75,Honkai Impact 3rd,Merchandise - Stationery,Mihoyo,
Luminasta Figure Hatsune Miku - Sakura Omutatsu Ver. (21cm),Ready Stock,320000,76,Hatsune Miku,Vocaloid,Prize Figure,SEGA
[Set of 2] Q Version Mini Figure Trailblazer Male / Female Pom-Pom Ver. Train Tea Party (8cm) - Honkai: Star Rail,Late Pre-Order,640000,75,Trailblazer Female,Honkai: Star Rail,Mini Figure,RIBOSE
figma Shi - Heavily Armed High School Girls,Sold Out,1200000,74,Shi,Heavily Armed High School Girls,figma,Max Factory
PVC Figure 1/7 Elaina - Majo no Tabitabi,Ready Stock,2450000,74,Elina,Majo no Tabitabi,Scaled Figure,Bellfine
Nendoroid Hatsune Miku - SEKAI of the Stage Ver.,Sold Out,1250000,74,Hatsune Miku,Vocaloid,Nendoroid,Good Smile Company
Childe / Tartaglia Capsule Collection Figure Vol. 2 - Genshin Impact,Sold Out,120000,74,Childe,Genshin Impact,Mini Figure,Bushiroad
Klee Metal Bracelet - Genshin Impact,Ready Stock,210000,74,Klee,Genshin Impact,Merchandise - Stationery,Mihoyo
Super Premium Figure Yuji Itadori - Jujutsu Kaisen (20cm),Ready Stock,350000,74,Yuji Itadori,Jujutsu Kaisen,Prize Figure,SEGA
Childe / Tartaglia Halloween Ver. Characters Q Acrylic Stand (8cm) - Genshin Impact,Ready Stock,200000,74,Childe,Genshin Impact,Merchandise - Acrylic,Mihoyo
PMMA Figure 1/6 Hajisoku Zan Fuki-Iincho Illustration by POPQN,Sold Out,2430000,74,Hajisoku Zan Fuki-Iincho,Original Character,Scaled Figure,FOTS JAPAN
Coreful Figure Yukinoshita Yukino - T-Shirt Swimsuit Ver. (18cm),Ready Stock,350000,74,Yukinoshita Yukino,Yahari Ore no Seishun Love Comedy wa Machigatteiru,Prize Figure,Taito
PVC Figure 1/7 Dusk - Ambience Synesthesia Ver. Arknights,Late Pre-Order,2700000,74,Dusk,Arknights,Scaled Figure,APEX
[REVIVE] PVC Figure 1/7 Atelier Ryza 2 (Reisalin Stout),Late Pre-Order,3050000,74,Ryza,Atelier Ryza Tokoyami no Joou to Himitsu no Kakurega,Scaled Figure,Wonderful Works
Coreful Figure Chizuru Mizuhara - Bunny Ver. (20cm),Ready Stock,370000,74,Chizuru Mizuhara,Kanojo Okarishimasu,Prize Figure,Taito
PVC Figure 1/8 Kurumi Tokisaki - Movie Date A Live: Mayuri Judgment (Re-Release),Ready Stock,2750000,74,Kurumi Tokisaki,Date A Live,Scaled Figure,ALTER
Pop Up Parade Figure Sesshomaru - Inuyasha The Final Act,Sold Out,540000,74,Sesshomaru,Inuyasha,Pop Up Parade,Good Smile Company
Coreful Figure Kurumi Tokisaki - Akuma Ver. (20cm),Sold Out,400000,74,Kurumi Tokisaki,Date A Live,Prize Figure,Taito
Pop Up Parade Figure Ryuko Matoi - Kill la Kill,Sold Out,520000,74,Ryuko Matoi,Kill La Kill,Pop Up Parade,Good Smile Company
Portrait Of Pirates POP WA-MAXIMUM Monkey D. Luffy - Gear 5 Ver.,Late Pre-Order,3100000,74,Monkey D. Luffy,One Piece,Scaled Figure,MegaHouse
PVC Figure 1/7 Sunaookami Shiroko - Swimsuit Ver. Blue Archive,Late Pre-Order,1520000,74,Sunaookami Shiroko,Blue Archive,Scaled Figure,Good Smile Company
Nendoroid Saber / Altria Pendragon - True Name Revealed Ver.,Sold Out,690000,74,Arthuria Pendragon,Fate,Nendoroid,Good Smile Company
[Cast Off] PVC Figure 1/4 Bunny Maid Hotaru illustration by Momi,Ready Stock,4950000,74,Bunny Maid Hotaru,Original Character,Scaled Figure,BINDing
KD Colle PVC Figure 1/7 Vladilena Milizé / Lena - 86 Eighty Six,Sold Out,2990000,74,Lena,86 -Eighty Six-,Scaled Figure,Stronger
[Cast Off] PVC Figure 1/4 Kozuki Erina illustration by Mimoza,Sold Out,4450000,74,Kozuki Erina,Original Character,Scaled Figure,BINDing
[Cast Off] PVC Figure 1/5 Chie - Bridge Pose Ver.,Sold Out,3650000,74,Chie,Original Character,Scaled Figure,Native
[REVIVE] Action Figure 1/9 Lucia Crimson Abyss - Punishing Gray Raven,Late Pre-Order,1550000,74,Lucia Crimson Abyss,Punishing Gray Raven,Action Figure,AniMester
PVC Figure 1/7 Megumin - Explosion Magic Ver.,Sold Out,2850000,73,Megumin,Kono Subarashii Sekai ni Shukufuku wo!,Scaled Figure,Sol international
Arknights Amiya Short Sleeve Hoodie (Size M),Sold Out,450000,73,Amiya,Arknights,Merchandise - Apparel,Tomorrow's Ark
Ryomen Sukuna Onemutan Jujutsu Kaisen,Ready Stock,90000,73,Ryoumen Sukuna,Jujutsu Kaisen,Mini Figure,Stand Stones
PVC Figure Inumaki Toge - Jujutsu Kaisen Jukon no Kata (18cm),Sold Out,280000,73,Inumaki Toge,Jujutsu Kaisen,Prize Figure,Bandai Spirits
Guoba Xiangling Plush Doll - Genshin Impact (13cm),Ready Stock,340000,73,Xiangling,Genshin Impact,Merchandise - Plush,Mihoyo
Omanjuu Diluc Teyvat Zoo Theme Series - Genshin Impact,Ready Stock,235000,73,Diluc,Genshin Impact,Merchandise - Plush,Mihoyo
LookUp Figure Bachira Meguru - Blue Lock,Pre-Order,510000,73,Meguru Bachira,Blue Lock,Lookup,MegaHouse
PVC Figure Shion - Relax Time (15cm),Ready Stock,330000,73,Shion,Tensei Shittara Slime Datta Ken,Prize Figure,Bandai Spirits
Nendoroid Zenitsu Agatsuma - Kimetsu no Yaiba,Ready Stock,970000,73,Zenitsu Agatsuma,Kimetsu no Yaiba,Nendoroid,Good Smile Company
Arknights Hoshiguma Short Sleeve T-Shirt (Size M),Sold Out,410000,73,Hoshiguma,Arknights,Merchandise - Apparel,Tomorrow's Ark
[Exclusive Sale] PVC Figure 1/7 Pyra - Xenoblade Chronicles 2 (Re-Release),Ready Stock,3350000,73,Pyra,Xenoblade Chronicles,Scaled Figure,Good Smile Company
Pop Up Parade Figure Cinnamon - Nekopara,Ready Stock,540000,73,Cinnamon,Nekopara,Pop Up Parade,Good Smile Company
Diluc Online Concert 2021 Ver. Acrylic Stand - Genshin Impact,Sold Out,230000,73,Diluc,Genshin Impact,Merchandise - Acrylic,MiHoYo
PVC Figure Echidna - Relax Time (20cm),Sold Out,290000,73,Echidna,Re:Zero Kara Hajimeru Isekai Seikatsu,Prize Figure,Bandai Spirits
PVC Figure Kinshi no Ane Swimsuit Ver. Illustration by 92M,Ready Stock,2250000,73,Kinshi no Ane,Original Character,Scaled Figure,Union Creative
PVC Figure Kaigun Musume Katorea Illustration by Ai Akasa (25cm),Ready Stock,2050000,73,Katorea,Original Character,Scaled Figure,Union Creative
[Cast Off] PVC Figure 1/6 asleep. Illustration by Amamitsuki,Late Pre-Order,3670000,73,Original Character,Original Character,Scaled Figure,Magicbullet(s)
Pop Up Parade Figure Watson Amelia - hololive production,Late Pre-Order,640000,73,Watson Amelia,hololive production,Pop Up Parade,Good Smile Company
Nendoroid Saber / Altria Pendragon Alter Shinjuku Ver. & Cuirassier Noir - Fate Grand Order,Sold Out,780000,73,Saber,Fate,Nendoroid,Good Smile Company
PVC Hatsune Miku - Sakura Miku Ver. (18cm),Sold Out,380000,73,Hatsune Miku,Vocaloid,Prize Figure,Taito
PVC Figure Ruka Sarashina - Exhibition Ver. (18cm),Ready Stock,350000,73,Ruka Sarashina,Kanojo Okarishimasu,Prize Figure,Bandai Spirits
[REVIVE] PVC Figure 1/7 Barbara - Genshin Impact,Late Pre-Order,3050000,73,Barbara,Genshin Impact,Scaled Figure,Kotobukiya
PVC Figure 1/7 Power - Chainsaw Man,Ready Stock,4350000,73,Power,Chainsaw Man,Scaled Figure,F:NEX
[REVIVE] PVC Figure 1/7 Alter Ego / Okita Souji (Alter) -Absolute Blade: Endless Three Stage-,Sold Out,3850000,72,Okita Souji,Fate,Scaled Figure,Good Smile Company
PVC Figure 1/8 OTs-14 Crassule Volkensii Ver.,Ready Stock,2750000,72,OTs-14,Girls' Frontline,Scaled Figure,Reverse Studio
Nendoroid Mikazuki Munechika - Touken Ranbu (Re-Release),Ready Stock,680000,72,Mikazuki Munechika,Touken Ranbu,Nendoroid,Orange Rouge
