Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
"[Nov 2022 Release] Xiao Vigilant Yaksha Theme Jacket (Size M,L,XL,2XL,3XL) - Genshin Impact",Back Order,1150000,111,Xiao,Genshin Impact,Merchandise - Apparel,Mihoyo
Premium Figure Saber - Emiya-san Chi no Kyou no Gohan (21cm),Sold Out,400000,111,Saber,Fate,Prize Figure,SEGA
PVC Figure Diablo - Otherworlder Plus Tensura (19cm),Ready Stock,480000,111,Diablo,Tensei Shitara Slime Datta ken,Prize Figure,Bandai Spirits
Nendoroid Mafuyu Sato - Given,Ready Stock,700000,111,Mafuyu Sato,Given,Nendoroid,Orange Rouge
Hu Tao Theme Series Shoulder Bag - Genshin Impact,Ready Stock,740000,111,Hu Tao,Genshin Impact,Merchandise - Apparel,Mihoyo
[REVIVE] Grand Ship Collection MG Thousand Sunny with Mugiwara Crew Model Kit - Wano Country Kuni Arc Ver.,Late Pre-Order,880000,113,Thousand Sunny,One Piece,Model Kit,Bandai Spirits
Banpresto World Figure Colosseum (BWFC) Toga Himiko - Hero Academia (19cm),Sold Out,340000,111,Toga Himiko,Boku no Hero Academia,Prize Figure,Bandai Spirits
Limited Premium Figure Alice Schuberg - Ver 1.5 (22cm),Sold Out,450000,111,Alice Schuberg,Sword Art Online,Prize Figure,SEGA
Super Premium Figure Asuka Langley - Evangelion (23cm),Ready Stock,380000,111,Asuka Langley,Evangelion,Prize Figure,SEGA
PVC Figure 1/7 Seele - Swaying Cat's Tail Ver. Honkai Gakuen 2,Sold Out,2250000,111,Seele Volerei,Honkai Impact 3rd,Scaled Figure,AniGame
Premium Desktop x Decorate Figure Hitori Gotoh - Bocchi the Rock! (16cm),Late Pre-Order,350000,111,Gotou Hitori,Bocchi the Rock!,Prize Figure,SEGA
Arknights Wireless Charging Luminous Mousepad Quadrant Breaker (30x80cm),Ready Stock,720000,110,Texas,Arknights,Merchandise - Mouse Pad,Arknights
PVC Figure 1/7 Skadi - Elite 2 E2 Ver.,Ready Stock,2450000,110,Skadi,Arknights,Scaled Figure,Kotobukiya
[REVIVE] Pop Up Parade Figure Lancer / Scathach - Fate/Grand Order,Late Pre-Order,540000,110,Scathach,Fate,Pop Up Parade,Max Factory
